model_id,model_name,family,sample_type,word_count,prompt_tokens,output_tokens,tokens_per_word,status
ai21/jamba-large-1.7,Jamba Large 1.7,ai21,blended,250,474,20,1.9,success
ai21/jamba-large-1.7,Jamba Large 1.7,ai21,prose,235,287,20,1.22,success
ai21/jamba-large-1.7,Jamba Large 1.7,ai21,code,306,862,20,2.82,success
cohere/command-a,Command A,cohere,blended,250,427,19,1.71,success
cohere/command-a,Command A,cohere,prose,235,265,19,1.13,success
cohere/command-a,Command A,cohere,code,306,765,19,2.5,success
mistralai/codestral-2508,Codestral,mistral,blended,250,433,20,1.73,success
mistralai/codestral-2508,Codestral,mistral,prose,235,277,20,1.18,success
mistralai/codestral-2508,Codestral,mistral,code,306,687,20,2.25,success
mistralai/mistral-large-2512,Mistral Large 3,mistral,blended,250,433,20,1.73,success
mistralai/mistral-large-2512,Mistral Large 3,mistral,prose,235,277,20,1.18,success
mistralai/mistral-large-2512,Mistral Large 3,mistral,code,306,694,20,2.27,success
openai/o3-mini,o3-mini,openai,blended,250,428,20,1.71,success
openai/o3-mini,o3-mini,openai,prose,235,272,20,1.16,success
openai/o3-mini,o3-mini,openai,code,306,672,20,2.2,success
amazon/nova-premier-v1,Amazon Nova Premier,amazon,blended,250,479,20,1.92,success
amazon/nova-premier-v1,Amazon Nova Premier,amazon,prose,235,307,20,1.31,success
amazon/nova-premier-v1,Amazon Nova Premier,amazon,code,306,895,20,2.92,success
perplexity/sonar-pro-search,Perplexity Sonar Pro Search,perplexity,blended,250,421,11,1.68,success
perplexity/sonar-pro-search,Perplexity Sonar Pro Search,perplexity,prose,235,269,17,1.14,success
perplexity/sonar-pro-search,Perplexity Sonar Pro Search,perplexity,code,306,663,11,2.17,success
perplexity/sonar-pro,Perplexity Sonar Pro,perplexity,blended,250,421,11,1.68,success
perplexity/sonar-pro,Perplexity Sonar Pro,perplexity,prose,235,269,11,1.14,success
perplexity/sonar-pro,Perplexity Sonar Pro,perplexity,code,306,663,11,2.17,success
amazon/nova-pro-v1,Amazon Nova Pro,amazon,blended,250,439,20,1.76,success
amazon/nova-pro-v1,Amazon Nova Pro,amazon,prose,235,273,20,1.16,success
amazon/nova-pro-v1,Amazon Nova Pro,amazon,code,306,750,20,2.45,success
microsoft/phi-4,Phi-4,microsoft,blended,250,428,20,1.71,success
microsoft/phi-4,Phi-4,microsoft,prose,235,276,20,1.17,success
microsoft/phi-4,Phi-4,microsoft,code,306,670,20,2.19,success
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,meta,blended,250,456,20,1.82,success
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,meta,prose,235,279,20,1.19,success
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,meta,code,306,673,20,2.2,success
