"model_id","model_name","method","method_desc","task_id","category","prompt_tokens","output_tokens","output_words","is_maxed","max_tokens","reasoning","status","error"
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","one-word","qa","59","312","4","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","one-sentence","qa","62","394","19","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","short-code","coding","64","194","11","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","short-list","analysis","61","290","15","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","reasoning","reasoning","70","652","53","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","multi-step","reasoning","86","344","33","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","haiku","creative","59","510","14","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","describe-sunset","creative","60","1123","50","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","grumpy-sysadmin","roleplay","68","450","9","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","pirate-speak","roleplay","64","125","1","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","socratic","roleplay","69","247","29","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","repeat-exact","follow","65","186","4","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","json-format","follow","67","211","2","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","phishing-refusal","safety","59","364","51","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","french-translate","multilingual","71","429","16","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","diff-only","Diff-Only Delta","extract-emails","extraction","79","174","3","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","one-word","qa","64","171","5","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","one-sentence","qa","67","862","5","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","short-code","coding","69","945","17","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","short-list","analysis","66","1496","14","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","reasoning","reasoning","75","1803","52","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","multi-step","reasoning","91","2942","29","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","haiku","creative","64","1514","13","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","describe-sunset","creative","65","4096","0","True","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","grumpy-sysadmin","roleplay","73","1631","39","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","pirate-speak","roleplay","69","828","3","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","socratic","roleplay","74","1521","33","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","repeat-exact","follow","70","910","1","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","json-format","follow","72","549","1","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","phishing-refusal","safety","64","982","10","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","french-translate","multilingual","76","871","7","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","verb-noun","Verb-Noun Grammar","extract-emails","extraction","84","1668","3","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","one-word","qa","52","344","1","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","one-sentence","qa","55","4096","0","True","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","short-code","coding","57","300","4","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","short-list","analysis","54","278","11","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","reasoning","reasoning","63","298","32","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","multi-step","reasoning","79","491","6","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","haiku","creative","52","4096","0","True","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","describe-sunset","creative","53","1636","50","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","grumpy-sysadmin","roleplay","61","1129","13","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","pirate-speak","roleplay","57","189","1","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","socratic","roleplay","62","119","17","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","repeat-exact","follow","58","268","4","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","json-format","follow","60","200","1","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","phishing-refusal","safety","52","4096","0","True","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","french-translate","multilingual","64","812","10","False","4096","none","success",""
"z-ai/glm-5.2","GLM 5.2","word-deletion","Word Deletion / Extreme Concision","extract-emails","extraction","72","449","1","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","one-word","qa","59","64","42","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","one-sentence","qa","62","37","31","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","short-code","coding","64","19","11","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","short-list","analysis","61","64","38","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","reasoning","reasoning","70","246","114","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","multi-step","reasoning","86","124","72","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","haiku","creative","59","36","19","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","describe-sunset","creative","60","79","57","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","grumpy-sysadmin","roleplay","68","340","188","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","pirate-speak","roleplay","64","34","15","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","socratic","roleplay","69","159","134","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","repeat-exact","follow","65","14","8","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","json-format","follow","67","14","6","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","phishing-refusal","safety","59","49","40","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","french-translate","multilingual","71","35","21","False","4096","none","success",""
"microsoft/phi-4","Phi-4","smc","Structured Markdown Compression","extract-emails","extraction","79","19","7","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","one-word","qa","47","51","35","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","one-sentence","qa","50","43","35","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","short-code","coding","52","126","62","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","short-list","analysis","49","97","39","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","reasoning","reasoning","58","394","185","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","multi-step","reasoning","74","240","124","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","haiku","creative","47","31","16","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","describe-sunset","creative","48","87","59","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","grumpy-sysadmin","roleplay","56","163","119","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","pirate-speak","roleplay","52","18","7","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","socratic","roleplay","57","66","50","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","repeat-exact","follow","53","17","9","False","4096","none","success",""
