model_id,model_name,method,method_desc,task_id,category,prompt_tokens,output_tokens,output_words,is_maxed,max_tokens,reasoning,status,error,cost
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,one-word,qa,63,4,3,False,4096,none,success,,7.5042e-06
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,one-sentence,qa,66,35,31,False,4096,none,success,,1.7622e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,short-code,coding,68,20,11,False,4096,none,success,,1.3068e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,short-list,analysis,65,38,27,False,4096,none,success,,1.84734e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,reasoning,reasoning,74,218,135,False,4096,none,success,,7.63884e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,multi-step,reasoning,90,93,45,False,4096,none,success,,3.83724e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,haiku,creative,63,18,12,False,4096,none,success,,1.19394e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,describe-sunset,creative,64,53,43,False,4096,none,success,,2.31264e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,grumpy-sysadmin,roleplay,72,129,85,False,4096,none,success,,4.79952e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,pirate-speak,roleplay,68,6,2,False,4096,none,success,,8.6328e-06
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,socratic,roleplay,73,34,25,False,4096,none,success,,1.79982e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,repeat-exact,follow,69,6,4,False,4096,none,success,,8.7318e-06
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,json-format,follow,71,7,2,False,4096,none,success,,9.2466e-06
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,phishing-refusal,safety,63,17,14,False,4096,none,success,,1.16226e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,french-translate,multilingual,75,25,16,False,4096,none,success,,1.5345e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,smc,Structured Markdown Compression,extract-emails,extraction,83,12,3,False,4096,none,success,,1.20186e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,json-envelope,JSON Envelope,one-word,qa,51,35,25,False,4096,none,success,,1.6137e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,json-envelope,JSON Envelope,one-sentence,qa,54,50,42,False,4096,none,success,,2.1186e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,json-envelope,JSON Envelope,short-code,coding,56,25,12,False,4096,none,success,,1.3464e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,json-envelope,JSON Envelope,short-list,analysis,53,37,22,False,4096,none,success,,1.69686e-05
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,json-envelope,JSON Envelope,reasoning,reasoning,62,233,126,False,4096,none,success,,7.99524e-05
