model_id,model_name,family,session,sample_type,word_count,prompt_tokens,tokens_per_word,blend_E,status,notes
deepseek/deepseek-chat-v4-flash,DeepSeek V4 Flash,deepseek,1,code,306,606,1.98,1.65,measured,DSL tokenizer
deepseek/deepseek-chat-v4-flash,DeepSeek V4 Flash,deepseek,1,prose,235,273,1.16,1.65,measured,DSL tokenizer
anthropic/claude-haiku-4.5,Claude Haiku 4.5,anthropic,1,code,306,689,2.25,1.85,measured,Anthropic tokenizer
anthropic/claude-haiku-4.5,Claude Haiku 4.5,anthropic,1,prose,235,294,1.25,1.85,measured,Anthropic tokenizer
openai/gpt-5.4-nano,GPT-5.4 Nano,openai,1,code,306,633,2.07,1.72,measured,o200k tokenizer; max_tokens>=16
openai/gpt-5.4-nano,GPT-5.4 Nano,openai,1,prose,235,280,1.19,1.72,measured,o200k tokenizer; max_tokens>=16
z-ai/glm-5.2,GLM 5.2,glm,1,code,306,572,1.87,1.59,measured,Zhipu tokenizer
z-ai/glm-5.2,GLM 5.2,glm,1,prose,235,277,1.18,1.59,measured,Zhipu tokenizer
moonshotai/kimi-k2.5-code,Kimi K2.7 Code,kimi,1,code,306,581,1.90,1.60,measured,Moonshot tokenizer
moonshotai/kimi-k2.5-code,Kimi K2.7 Code,kimi,1,prose,235,273,1.16,1.60,measured,Moonshot tokenizer
x-ai/grok-4.5,Grok 4.5,grok,2,code,306,884,2.89,2.46,measured,Most verbose measured
x-ai/grok-4.5,Grok 4.5,grok,2,prose,235,425,1.81,2.46,measured,Most verbose measured
minimax/minimax-m2.5,MiniMax M3,minimax,2,code,306,817,2.67,2.29,measured,Second most verbose measured
minimax/minimax-m2.5,MiniMax M3,minimax,2,prose,235,404,1.72,2.29,measured,Second most verbose measured
deepseek/deepseek-r1,DeepSeek R1,deepseek,2,code,306,~606,~1.98,1.80,measured,Same DSL tokenizer as V4 Flash; blend differs
deepseek/deepseek-r1,DeepSeek R1,deepseek,2,prose,235,~273,~1.16,1.80,measured,Same DSL tokenizer as V4 Flash; blend differs
deepseek/deepseek-chat-v3.2,DeepSeek V3.2,deepseek,2,code,306,~606,~1.98,1.84,measured,Same DSL tokenizer as V4 Flash; blend differs
deepseek/deepseek-chat-v3.2,DeepSeek V3.2,deepseek,2,prose,235,~273,~1.16,1.84,measured,Same DSL tokenizer as V4 Flash; blend differs
deepseek/deepseek-chat-v3,DeepSeek Chat V3,deepseek,2,code,306,~606,~1.98,1.78,measured,Same DSL tokenizer as V4 Flash; blend differs
deepseek/deepseek-chat-v3,DeepSeek Chat V3,deepseek,2,prose,235,~273,~1.16,1.78,measured,Same DSL tokenizer as V4 Flash; blend differs
google/gemini-2.5-pro-preview-05-06,Gemini 2.5 Pro,gemini,2,code,,,1.83,measured,Blend only; usage reported by OpenRouter
google/gemini-2.5-pro-preview-05-06,Gemini 2.5 Pro,gemini,2,prose,,,1.83,measured,Blend only; usage reported by OpenRouter
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,meta,2,code,,,1.72,measured,Blend only
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,meta,2,prose,,,1.72,measured,Blend only
meta-llama/llama-4-maverick-17b-128e,Llama 4 Maverick,meta,2,code,,,1.75,measured,Blend only
meta-llama/llama-4-maverick-17b-128e,Llama 4 Maverick,meta,2,prose,,,1.75,measured,Blend only
microsoft/phi-4,Phi-4,microsoft,2,code,,,1.69,measured,Blend only
microsoft/phi-4,Phi-4,microsoft,2,prose,,,1.69,measured,Blend only
amazon/nova-pro-v1,Amazon Nova Pro,amazon,2,code,,,1.87,measured,Blend only
amazon/nova-pro-v1,Amazon Nova Pro,amazon,2,prose,,,1.87,measured,Blend only
perplexity/sonar-pro,Perplexity Sonar Pro,perplexity,3,code,380,844,2.22,1.79,verified,"OR log: 844 in tok; words back-calc'd from E=2.22"
perplexity/sonar-pro,Perplexity Sonar Pro,perplexity,3,prose,244,281,1.15,1.79,verified,"OR log: 281 in tok; words back-calc'd from E=1.15"
perplexity/sonar-pro-search,Perplexity Sonar Pro Search,perplexity,3,code,380,844,2.22,1.79,verified,"OR log: 844 in tok; same tokenizer as Sonar Pro"
perplexity/sonar-pro-search,Perplexity Sonar Pro Search,perplexity,3,prose,244,281,1.15,1.79,verified,"OR log: 281 in tok; same tokenizer as Sonar Pro"
amazon/nova-premier-v1,Amazon Nova Premier,amazon,3,code,382,1099,2.88,2.24,verified,"OR log: 1099 in tok; words back-calc'd from E=2.88"
amazon/nova-premier-v1,Amazon Nova Premier,amazon,3,prose,244,315,1.29,2.24,verified,"OR log: 315 in tok; words back-calc'd from E=1.29"
mistralai/mistral-large-2512,Mistral Large 3,mistral,4,code,152,310,2.04,1.68,verified,"OR log: 310 in tok; SentencePiece"
mistralai/mistral-large-2512,Mistral Large 3,mistral,4,prose,125,144,1.15,1.68,verified,"OR log: 144 in tok; SentencePiece"
mistralai/codestral-2508,Codestral,mistral,4,code,152,310,2.04,1.68,verified,"OR log: 310 in tok; SentencePiece"
