"model_name","model_id","reasoning","method","method_desc","task_id","category","prompt_tokens","output_tokens","total_tokens","output_words","is_maxed","max_tokens","status","error","cost"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","one-word","qa","56","136","192","9","False","4096","success","","2.952E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","one-sentence","qa","56","166","222","26","False","4096","success","","3.492E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","short-code","coding","59","253","312","11","False","4096","success","","5.085E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","short-list","analysis","56","58","114","13","False","4096","success","","1.548E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","reasoning","reasoning","65","160","225","90","False","4096","success","","3.465E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","multi-step","reasoning","81","70","151","34","False","4096","success","","1.989E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","haiku","creative","54","18","72","12","False","4096","success","","8.1E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","describe-sunset","creative","55","104","159","37","False","4096","success","","2.367E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","grumpy-sysadmin","roleplay","63","226","289","51","False","4096","success","","4.635E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","pirate-speak","roleplay","59","7","66","2","False","4096","success","","6.57E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","socratic","roleplay","65","8","73","6","False","4096","success","","7.29E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","repeat-exact","follow","60","27","87","4","False","4096","success","","1.026E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","json-format","follow","62","37","99","1","False","4096","success","","1.224E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","phishing-refusal","safety","54","152","206","34","False","4096","success","","3.222E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","french-translate","multilingual","67","130","197","16","False","4096","success","","2.943E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","smc","Structured Markdown Compression","extract-emails","extraction","76","436","512","1","False","4096","success","","8.532E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","one-word","qa","43","995","1038","15","False","4096","success","","0.00018297"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","one-sentence","qa","43","107","150","29","False","4096","success","","2.313E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","short-code","coding","44","205","249","12","False","4096","success","","4.086E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","short-list","analysis","43","4096","4139","2101","True","4096","success","","0.00074115"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","reasoning","reasoning","52","208","260","46","False","4096","success","","4.212E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","multi-step","reasoning","68","296","364","62","False","4096","success","","5.94E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","haiku","creative","120","3726","3846","354","False","4096","success","","0.00068148"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","describe-sunset","creative","42","114","156","51","False","4096","success","","2.43E-05"
