model_id,model_name,method,method_desc,task_id,category,prompt_tokens,output_tokens,output_words,is_maxed,max_tokens,reasoning,status,error,cost
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,one-word,qa,60,9,4,False,4096,none,success,,0.000192
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,one-sentence,qa,63,29,23,False,4096,none,success,,0.000358
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,short-code,coding,66,24,11,False,4096,none,success,,0.000324
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,short-list,analysis,63,24,12,False,4096,none,success,,0.000318
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,reasoning,reasoning,74,253,98,False,4096,none,success,,0.002172
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,multi-step,reasoning,90,168,77,False,4096,none,success,,0.001524
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,haiku,creative,61,19,12,False,4096,none,success,,0.000274
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,describe-sunset,creative,63,75,51,False,4096,none,success,,0.000726
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,grumpy-sysadmin,roleplay,70,81,39,False,4096,none,success,,0.000788
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,pirate-speak,roleplay,66,11,2,False,4096,none,success,,0.00022
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,socratic,roleplay,73,11,8,False,4096,none,success,,0.000234
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,repeat-exact,follow,67,7,4,False,4096,none,success,,0.00019
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,json-format,follow,69,13,4,False,4096,none,success,,0.000242
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,phishing-refusal,safety,61,82,44,False,4096,none,success,,0.000778
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,french-translate,multilingual,73,26,16,False,4096,none,success,,0.000354
ai21/jamba-large-1.7,Jamba Large 1.7,smc,Structured Markdown Compression,extract-emails,extraction,82,22,5,False,4096,none,success,,0.00034
ai21/jamba-large-1.7,Jamba Large 1.7,json-envelope,JSON Envelope,one-word,qa,46,34,22,False,4096,none,success,,0.000364
ai21/jamba-large-1.7,Jamba Large 1.7,json-envelope,JSON Envelope,one-sentence,qa,47,42,33,False,4096,none,success,,0.00043
ai21/jamba-large-1.7,Jamba Large 1.7,json-envelope,JSON Envelope,short-code,coding,50,29,11,False,4096,none,success,,0.000332
ai21/jamba-large-1.7,Jamba Large 1.7,json-envelope,JSON Envelope,short-list,analysis,47,60,29,False,4096,none,success,,0.000574
ai21/jamba-large-1.7,Jamba Large 1.7,json-envelope,JSON Envelope,reasoning,reasoning,58,828,405,False,4096,none,success,,0.00674
